request_id,sequence_id,request_class,arrival_time_s,enqueue_time_s,dispatch_time_s,first_token_time_s,completion_time_s,input_tokens,output_tokens,status,error_type,policy_name,config_hash,repetition_index,env_version
request-000000,0,batch,2239.483814619,2239.485275217,2239.485315072,2239.511409148,2242.047144591,2035,319,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000001,1,batch,2239.493105109812,2239.493550829,2239.493577257,2239.518759599,2241.080243683,1591,199,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000002,2,batch,2239.5612294223206,2239.561863772,2239.561906846,2239.59397412,2241.59996461,892,254,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000003,3,interactive,2239.5954045830103,2239.596146348,2239.596186028,2239.616614694,2240.030101917,118,55,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000004,4,batch,2239.6328277293123,2239.633157211,2239.633190785,2239.656169412,2240.668314967,2046,131,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000005,5,batch,2239.7872838237936,2239.787370979,2239.787408699,2239.812302308,2241.862765217,1040,257,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000006,6,batch,2239.7975573157414,2239.79768249,2239.797710496,2239.819360195,2243.503514132,589,459,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000007,7,batch,2239.802415701774,2239.80326206,2239.803291092,2239.826604292,2242.753085227,578,364,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000008,8,batch,2239.814482235543,2239.815473249,2239.815493752,2239.835034473,2241.567501212,757,218,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000009,9,interactive,2239.9098122789833,2239.910018712,2239.91004051,2239.932841266,2240.269497096,68,44,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000010,10,batch,2240.0120622354943,2240.012979461,2240.013007919,2240.037034607,2242.719684436,611,333,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000011,11,batch,2240.0123873899283,2240.013023827,2240.013032396,2240.037367779,2241.728713687,1163,211,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000012,12,batch,2240.053460214742,2240.054419948,2240.054448612,2240.074415611,2241.721553715,1996,205,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000013,13,batch,2240.068082490666,2240.068805225,2240.068829707,2240.089267251,2242.931286939,798,352,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000014,14,batch,2240.103863256959,2240.104283748,2240.104312117,2240.129039473,2242.82745932,1990,334,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000015,15,batch,2240.1057996338614,2240.105833369,2240.105846483,2240.128913714,2242.497109185,541,294,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000016,16,batch,2240.2042880348904,2240.205716328,2240.205742913,2240.229150378,2243.44828705,945,399,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000017,17,batch,2240.2059463618352,2240.206225789,2240.206242038,2240.284633319,2241.397375877,719,139,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000018,18,batch,2240.2369605036433,2240.238013737,2240.238036084,2240.682720109,2243.036349004,1973,290,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000019,19,batch,2240.2420830729075,2240.242180563,2240.24219681,2241.095153639,2243.567790267,739,306,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000020,20,interactive,2240.248457628742,2240.249084735,2240.249102151,2241.410908142,2242.437916294,137,127,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000021,21,batch,2240.2511449127733,2240.251922171,2240.251938489,2241.583121872,2242.69488493,1260,137,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000022,22,interactive,2240.2520211257665,2240.252344824,2240.25235969,2241.616076246,2242.250478467,255,79,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000023,23,batch,2240.3435978162734,2240.344039112,2240.344066548,2241.735363333,2245.439098286,1132,461,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000024,24,batch,2240.346089307946,2240.346736094,2240.34676502,2241.742951299,2244.12302105,967,296,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000025,25,batch,2240.402424487867,2240.403291595,2240.403314777,2241.87678623,2243.719818016,539,229,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000026,26,batch,2240.42155145911,2240.421961623,2240.421984487,2242.060308629,2245.694759219,1577,452,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000027,27,batch,2240.4334919847943,2240.434181626,2240.43420122,2242.264058886,2245.616682574,1957,417,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
request-000028,28,batch,2240.497983980885,2240.498567419,2240.498593564,2242.453111594,2243.479874652,700,128,success,,fcfs,c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786,0,python=3.11.14;driver=580.178.04;model_revision=c1899de289a04d12100db370d81485cdf75e47ca;config_hash=c82deaaa0a6c7972ec96497d300d370c03987d43fd982d4f3e4af30d9ffee786;vllm=unavailable;torch=unavailable
